filename,R_min,R_max,R_mean,R_std,G_min,G_max,G_mean,G_std,B_min,B_max,B_mean,B_std,A_min,A_max,A_mean,A_std,Y_min,Y_max,Y_mean,Y_std,vertex_count
mesh_233908.ply,19.0,183.0,108.95035552978516,35.21551513671875,18.0,175.0,109.08723449707031,36.19334030151367,19.0,171.0,109.4345703125,35.90144348144531,255.0,255.0,255.0,0.0,18.284799575805664,176.3397979736328,109.08321380615234,35.91590118408203,65409
mesh_233910.ply,19.0,183.0,105.03424072265625,35.79603958129883,18.0,175.0,105.12173461914062,36.151065826416016,19.0,171.0,105.50433349609375,35.71750259399414,255.0,255.0,255.0,0.0,18.284799575805664,176.3397979736328,105.13074493408203,36.00162124633789,64576
mesh_233912.ply,18.0,183.0,98.28984832763672,36.0689811706543,18.0,175.0,98.74880981445312,36.01457595825195,19.0,171.0,99.47699737548828,35.52119445800781,255.0,255.0,255.0,0.0,18.284799575805664,176.3397979736328,98.70381164550781,35.94319534301758,59290
mesh_233914.ply,18.0,183.0,92.05039978027344,36.044193267822266,18.0,175.0,93.2574462890625,35.84505081176758,20.0,170.0,94.11734008789062,35.463539123535156,255.0,255.0,255.0,0.0,18.42919921875,176.3397979736328,93.06291961669922,35.824241638183594,55215
mesh_233917.ply,18.0,168.0,93.48480987548828,36.15604782104492,18.0,175.0,94.91868591308594,35.658782958984375,20.0,173.0,95.75651550292969,35.24818801879883,255.0,255.0,255.0,0.0,18.42919921875,173.36740112304688,94.6743392944336,35.70412826538086,53658
mesh_233919.ply,7.0,169.0,90.20855712890625,37.904945373535156,7.0,177.0,91.88858795166016,37.23288345336914,4.0,178.0,92.60133361816406,36.93240737915039,255.0,255.0,255.0,0.0,7.208600044250488,175.15878295898438,91.58287048339844,37.327640533447266,60324
mesh_233922.ply,8.0,169.0,88.0448226928711,38.61564254760742,7.0,177.0,89.78853607177734,37.87922286987305,5.0,178.0,90.35200500488281,37.69877624511719,255.0,255.0,255.0,0.0,7.06820011138916,175.15878295898438,89.45851135253906,37.99591064453125,61599
mesh_233924.ply,6.0,169.0,88.57119750976562,38.82537841796875,8.0,177.0,90.30262756347656,37.98701477050781,5.0,178.0,90.86509704589844,37.740116119384766,255.0,255.0,255.0,0.0,7.3582000732421875,175.15878295898438,89.97513580322266,38.122657775878906,62059
mesh_233927.ply,6.0,184.0,85.82981872558594,38.99896240234375,8.0,189.0,87.87831115722656,37.94464111328125,5.0,187.0,88.41586303710938,37.70214080810547,255.0,255.0,255.0,0.0,7.3582000732421875,187.7926025390625,87.48162078857422,38.121822357177734,58591
mesh_233929.ply,2.0,201.0,76.78034210205078,40.079288482666016,6.0,199.0,79.11903381347656,38.65611267089844,3.0,197.0,78.9510498046875,39.11136245727539,255.0,255.0,255.0,0.0,5.077400207519531,199.2808074951172,78.60969543457031,38.96776580810547,56833
mesh_233931.ply,0.0,209.0,79.1054458618164,42.30754470825195,4.0,205.0,81.04700469970703,41.027591705322266,1.0,204.0,80.16539001464844,42.079769134521484,255.0,255.0,255.0,0.0,3.005199909210205,205.7781982421875,80.570556640625,41.35232162475586,62508
mesh_233934.ply,0.0,245.0,80.47502899169922,38.3714485168457,5.0,236.0,81.89911651611328,37.09745788574219,1.0,237.0,80.67510986328125,37.387577056884766,255.0,255.0,255.0,0.0,3.79259991645813,237.98561096191406,81.50798034667969,37.351863861083984,49740
mesh_233937.ply,0.0,255.0,93.765625,41.35344696044922,5.0,255.0,94.83771514892578,40.06953048706055,0.0,255.0,93.77827453613281,40.82958221435547,255.0,255.0,255.0,0.0,3.5759999752044678,255.0,94.5333023071289,40.36781692504883,55267
mesh_233939.ply,0.0,255.0,92.25089263916016,39.22999954223633,6.0,255.0,93.55824279785156,38.434303283691406,1.0,255.0,93.46987915039062,39.79722595214844,255.0,255.0,255.0,0.0,4.363399982452393,255.0,93.27391815185547,38.63270568847656,56427
mesh_233941.ply,3.0,255.0,92.12246704101562,41.29098892211914,6.0,255.0,93.75535583496094,40.1038703918457,3.0,255.0,93.69847869873047,41.418270111083984,255.0,255.0,255.0,0.0,5.643000602722168,255.0,93.40409851074219,40.38048553466797,61584
mesh_233943.ply,1.0,255.0,89.1110610961914,41.980857849121094,6.0,255.0,90.40222930908203,40.948448181152344,3.0,255.0,89.75809478759766,42.37241744995117,255.0,255.0,255.0,0.0,5.145599842071533,255.0,90.08122253417969,41.207176208496094,66134
mesh_233945.ply,3.0,252.0,86.93338012695312,42.154605865478516,6.0,255.0,87.83837890625,41.22996139526367,3.0,255.0,86.65036010742188,42.67300796508789,255.0,255.0,255.0,0.0,5.643000602722168,254.36219787597656,87.56021118164062,41.468448638916016,61200
mesh_233948.ply,3.0,252.0,102.87989044189453,47.512489318847656,7.0,255.0,102.9866943359375,47.34530258178711,1.0,255.0,100.97284698486328,49.16214370727539,255.0,255.0,255.0,0.0,6.001200199127197,254.36219787597656,102.81858825683594,47.46452713012695,70186
mesh_233951.ply,3.0,252.0,108.40609741210938,50.50406265258789,7.0,255.0,108.34214782714844,49.92033386230469,1.0,255.0,106.42874145507812,51.90640640258789,255.0,255.0,255.0,0.0,6.001200199127197,254.36219787597656,108.21759033203125,50.130638122558594,68146
mesh_233954.ply,3.0,252.0,111.67914581298828,50.94076156616211,7.0,255.0,112.6684799194336,49.77695083618164,1.0,255.0,111.04181671142578,50.91690444946289,255.0,255.0,255.00001525878906,1.52587890625e-05,6.001200199127197,254.36219787597656,112.34070587158203,50.017757415771484,83817
mesh_233957.ply,3.0,224.0,108.99757385253906,53.90627670288086,7.0,252.0,110.41108703613281,52.43949890136719,1.0,255.0,109.04531860351562,53.471126556396484,255.0,255.0,254.99998474121094,1.52587890625e-05,6.001200199127197,246.26380920410156,110.01197052001953,52.729736328125,90163
mesh_234000.ply,3.0,252.0,109.78096771240234,53.68660354614258,7.0,255.0,111.0210189819336,52.26247024536133,1.0,255.0,109.76139068603516,53.198001861572266,255.0,255.0,255.0,0.0,6.001200199127197,254.36219787597656,110.66642761230469,52.54745101928711,90928
mesh_234003.ply,4.0,255.0,105.87541198730469,53.827152252197266,7.0,255.0,107.09321594238281,52.38652038574219,1.0,254.0,105.9437255859375,53.25924301147461,255.0,255.0,255.00001525878906,1.52587890625e-05,6.145600318908691,254.85560607910156,106.75131225585938,52.67854690551758,80857
mesh_234006.ply,8.0,255.0,93.32022857666016,49.53355026245117,11.0,255.0,94.29039764404297,48.367652893066406,5.0,253.0,93.33380889892578,49.68590545654297,255.0,255.0,255.0,0.0,10.21780014038086,254.85560607910156,94.01507568359375,48.66032028198242,58974
mesh_234009.ply,2.0,217.0,84.71448516845703,44.21092224121094,9.0,214.0,85.55945587158203,43.445281982421875,5.0,235.0,85.17073059082031,44.485633850097656,255.0,255.0,255.0,0.0,7.5117998123168945,213.3901824951172,85.35175323486328,43.64390563964844,49294
mesh_234012.ply,2.0,217.0,81.51956176757812,42.54090118408203,9.0,214.0,82.29776763916016,41.83041763305664,5.0,235.0,81.9043960571289,42.73631286621094,255.0,255.0,255.0,0.0,7.5117998123168945,209.98858642578125,82.10391998291016,42.01898193359375,47729
mesh_234014.ply,2.0,217.0,80.20622253417969,40.89521026611328,9.0,199.0,80.69654083251953,40.350624084472656,8.0,203.0,80.16883850097656,41.20549011230469,255.0,255.0,255.0,0.0,7.5117998123168945,203.1156005859375,80.55419921875,40.50312423706055,49835
mesh_234017.ply,3.0,197.0,98.46273040771484,43.778018951416016,10.0,190.0,98.70230102539062,43.56304168701172,7.0,190.0,98.04755401611328,44.47843933105469,255.0,255.0,255.0,0.0,8.72439956665039,191.4882049560547,98.60408782958984,43.63015365600586,73702
mesh_234021.ply,3.0,198.0,95.45166778564453,43.941734313964844,7.0,192.0,95.1642837524414,43.78844451904297,0.0,190.0,93.93529510498047,44.9524040222168,255.0,255.0,255.0,0.0,6.991999626159668,193.13121032714844,95.13664245605469,43.841243743896484,71894
mesh_234023.ply,3.0,198.0,97.95077514648438,44.39462661743164,7.0,192.0,96.85333251953125,44.14155197143555,1.0,190.0,95.20410919189453,45.33734130859375,255.0,255.0,254.99998474121094,1.52587890625e-05,6.779399871826172,193.13121032714844,96.96756744384766,44.22325134277344,69983
mesh_234026.ply,3.0,255.0,103.99626922607422,39.61091995239258,8.0,255.0,100.82050323486328,39.72453308105469,1.0,251.0,96.87696838378906,41.877891540527344,255.0,255.0,255.00001525878906,1.52587890625e-05,7.928999900817871,254.71121215820312,101.21095275878906,39.672767639160156,72145
mesh_234029.ply,6.0,255.0,103.42233276367188,37.66739273071289,8.0,255.0,99.46028900146484,37.710086822509766,1.0,251.0,94.67532348632812,39.871280670166016,255.0,255.0,254.99998474121094,1.52587890625e-05,7.928999900817871,254.71121215820312,99.95714569091797,37.603939056396484,68107
mesh_234031.ply,6.0,255.0,103.10173797607422,35.502750396728516,8.0,255.0,97.5137710571289,36.01823806762695,1.0,251.0,92.07715606689453,38.45735549926758,255.0,255.0,255.00001525878906,1.52587890625e-05,7.928999900817871,254.71121215820312,98.30924987792969,35.757930755615234,74045
mesh_234033.ply,6.0,255.0,104.65324401855469,32.359466552734375,9.0,255.0,98.63973236083984,33.67571258544922,2.0,251.0,93.70539855957031,36.24152374267578,255.0,255.0,254.99998474121094,1.52587890625e-05,7.928999900817871,254.71121215820312,99.56195831298828,33.238975524902344,85859
mesh_234035.ply,6.0,255.0,100.53962707519531,31.7737979888916,9.0,255.0,93.8252944946289,32.79759216308594,2.0,251.0,88.74410247802734,34.98172378540039,255.0,255.0,254.99998474121094,1.52587890625e-05,7.928999900817871,254.71121215820312,94.88590240478516,32.38045120239258,85659
mesh_234037.ply,11.0,255.0,99.46937561035156,32.071754455566406,12.0,255.0,91.19964599609375,32.344703674316406,7.0,251.0,85.4927749633789,33.93608093261719,255.0,255.0,254.99998474121094,1.52587890625e-05,11.855600357055664,254.71121215820312,92.54576110839844,31.946592330932617,75383
mesh_234040.ply,11.0,255.0,97.51982116699219,32.095664978027344,12.0,255.0,88.44725036621094,31.446861267089844,10.0,251.0,82.2177734375,32.50050354003906,255.0,255.0,255.0,0.0,11.855600357055664,254.71121215820312,89.92631530761719,31.166484832763672,62725
mesh_234042.ply,11.0,255.0,99.24901580810547,36.96063995361328,12.0,255.0,90.76737976074219,38.066043853759766,6.0,255.0,85.50721740722656,40.94166564941406,255.0,255.0,255.0,0.0,11.855600357055664,255.0,92.19078826904297,37.58088302612305,55692
mesh_234044.ply,7.0,255.0,100.71498107910156,39.83659744262695,7.0,255.0,95.48268127441406,42.34148406982422,0.0,255.0,93.05419158935547,44.993934631347656,255.0,255.0,255.0,0.0,6.494600296020508,255.0,96.41973114013672,41.604923248291016,78864
mesh_234047.ply,6.0,255.0,90.99666595458984,37.2347526550293,6.0,255.0,87.27442932128906,39.17219924926758,3.0,255.0,86.06644439697266,40.84006881713867,255.0,255.0,255.0,0.0,5.995999813079834,254.7873992919922,87.97856140136719,38.58519744873047,57837
mesh_234050.ply,6.0,255.0,90.08984375,38.64668655395508,6.0,255.0,87.16078186035156,41.01649475097656,3.0,255.0,86.70587921142578,42.772491455078125,255.0,255.0,255.0,0.0,5.995999813079834,254.7873992919922,87.75066375732422,40.40187454223633,47617
mesh_234051.ply,6.0,255.0,89.95730590820312,38.82561111450195,6.0,255.0,87.54267883300781,41.50448989868164,3.0,255.0,87.36888122558594,43.53569030761719,255.0,255.0,255.0,0.0,5.995999813079834,255.0,88.0434799194336,40.85812759399414,38625
mesh_234054.ply,6.0,254.0,89.38201141357422,40.08470153808594,6.0,255.0,86.69924926757812,42.86915969848633,4.0,255.0,86.2710952758789,44.948001861572266,255.0,255.0,255.0,0.0,6.06820011138916,254.7873992919922,87.23870086669922,42.216732025146484,34593
mesh_234056.ply,6.0,253.0,87.45235443115234,40.33283233642578,6.0,255.0,84.56300354003906,43.07682418823242,4.0,255.0,84.01315307617188,45.1566162109375,255.0,255.0,255.0,0.0,6.06820011138916,254.57479858398438,85.13758087158203,42.4333610534668,31316
mesh_234058.ply,6.0,253.0,86.40838623046875,41.02684783935547,6.0,255.0,83.0063247680664,43.94096374511719,4.0,255.0,82.13182830810547,46.10268783569336,255.0,255.0,255.0,0.0,6.06820011138916,254.57479858398438,83.66645812988281,43.27507781982422,27513
